TID,mSvrNo,mOptionNo,mOptionNm,mOptionDesc,mOptionDesc0,mOptionValue0,mOptionDesc1,mOptionValue1,mOptionDesc2,mOptionValue2,mOptionDesc3,mOptionValue3,mOptionDesc4,mOptionValue4,mOptionDesc5,mOptionValue5,mOptionDesc6,mOptionValue6,mOptionDesc7,mOptionValue7,mOptionDesc8,mOptionValue8,mOptionDesc9,mOptionValue9,mOptionDesc10,mOptionValue10,mOptionDesc11,mOptionValue11,mOptionDesc12,mOptionValue12,mOptionDesc13,mOptionValue13,mOptionDesc14,mOptionValue14,mOptionDesc15,mOptionValue15,mOptionDesc16,mOptionValue16,mOptionDesc17,mOptionValue17,mOptionDesc18,mOptionValue18,mOptionDesc19,mOptionValue19
TID,服务器编号,内容编号,内容名称,内容说明,选项说明0,选项值0,选项说明1,选项值1,选项说明2,选项值2,选项说明3,选项值3,选项说明4,选项值4,选项说明5,选项值5,选项说明6,选项值6,选项说明7,选项值7,选项说明8,选项值8,选项说明9,选项值9,选项说明10,选项值10,选项说明11,选项值11,选项说明12,选项值12,选项说明13,选项值13,选项说明14,选项值14,选项说明15,选项值15,选项说明16,选项值16,选项说明17,选项值17,选项说明18,选项值18,选项说明19,选项值19
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U32,U32,U8,CBwString,CBwString,CBwString,F32,CBwString,F32,CBwString,F32,CBwString,F32,CBwString,F32,CBwString,F32,CBwString,F32,CBwString,F32,CBwString,F32,CBwString,F32,CBwString,F32,CBwString,F32,CBwString,F32,CBwString,F32,CBwString,F32,CBwString,F32,CBwString,F32,CBwString,F32,CBwString,F32,CBwString,F32
1,0,1,游戏内限制,"PC, 武器熟练度, Pc 仓库/ 库存, 公会 仓库保管Ghelld使用限制",PC等级限制,60,主武器熟练度等级限制,60,辅助武器熟练度等级限制,60,库存保管的金额限制,1000000000,PC仓库保管金额限制,1000000000,公会仓库保管金额限制,1000000000,公会创立费用,200000,公会创立等级限制,20,公会贡献度。,100,阵容相比最小的设定数,500,阵营间比率,60,种族电脑生成的限制,0,采集/制作最大等级限制,60,阵营聊天限制,6,角色删除等待时间值（24小时（每隔一定级别）,24,角色恢复期（日）,30,角色名称冷却时间（日）,0,拍卖场最大登录数,10,,,,
2,0,2,战斗有关算式,获得经验，Ghelld的获得等战斗相关的算式中使用的校正值,武器熟练度获得经验,100,PC 获得经验,100,获得组队经验。,100,PC Ghelld量 获得,100,队伍Ghelld量获得,100,PC 死亡面板的基准等级,100,PC 死亡的比率明显减少,10,怪物击杀分数（立即）,10,时间分数(立即),400,人员分数 (立即),200,声誉分数（敌对PC死亡时的情况）,2,胜利阵营硬币个数,3,失败阵营硬币个数,1,关注人的行为: 伤害的倍数,1,关注人的行为 : HP的倍数,0.5,关注人的行为 : MP的倍数,0.5,治疗量 : 魔法攻击力的倍数,0.24,,,,,,
3,0,3,道具相关的算式,项目下降率等项目相关的算式中使用的校正值,道具基本下降率,100,物品增加下降概率,1,装备耐久度减少。,50,装备耐久度修理费用,50,道具强化概率,100,合同高效益的概率,100,采集获得经验值,1,PCGhelld 下降率,100,队伍Ghelld下降率,100,密封系统。,1,,,,,,,,,,,,,,,,,,,,
4,0,4,地图公开限制,不开放的地图管理使用,限制的 MapTID,,,,,,,,,,,,多余的部分,0,多余的部分,0,多余的部分,0,多余的部分,0,,,,,,,,,,,,,,,,,,,,
5,0,5,可用的相关内容,可用内容的控制,限制的 MapTID,,可用的 Pool,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0,6,系统的开放与否,内容管理界面是否开放使用,队伍系统失效,0,Ghelld 系统失效,0,加强项目禁用,0,道具禁用炼金术,0,道具生产禁用,0,禁用私人交易,0,个人商店禁用,0,拍卖会禁用,0,禁用邮件,0,多余的部分,0,,,,,,,,,,,,,,,,,,,,
7,0,7,战争内容有关的,战争内容在声誉分数算式中使用,小规模的战场退出面板性技能 TID,230512,高目标都市进攻地图号码,1005,破坏都市进攻地图编号,1006,英雄战最大入场人数,200,圣物占领战入场最大人数,200,暗杀前入场人数最多,200,圣物破坏前的最大入场人数,200,入侵前的入场人数最多的城市,200,全面战争的入场最大人数,200,超过战场的最大入场人数的情况支付信箱,1100,,,,,,,,,,,,,,,,,,,,
8,0,8,特定技能的号码,特定技能号码设定,无敌(Ironman),231031,PvP复活了,231512,死亡后遗症,231511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0,9,操作员命令有关,操作员命令所需的信息设定.,30级以上开始地区 AreaTID,50269,40级上开始地区 AreaTID,,30级破坏区域 AreaTID,50219,40级破坏开始区域 AreaTID,,30级高目标开始区域 TID,93,40级高精准开始道具 TID,94,30级破坏道具开始 TID,,40级破坏道具开始 TID,,,,,,,,,,,,,,,,,,,,,,,,,
10,0,10,游戏内设置,游戏需要的数据设定,PVP(决斗可能 WorldTID),2000,PVP(决斗的限制时间。),180000,PVP(决斗的限制半径),25,PVP(决斗限制距离),10,PVP(决斗EntityTID),200005,小规模的战场准备时间限制,20000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0,11,自动防止测验相关,自动保护系统所需的数据设定,测验界面发生周期（分钟）,60,测验的机会,3,测试输入时间(秒),90,限制上网时间（小时）,12,测试收到补偿（技能表TID）,232541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
